Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_pedri;distance_norm;minutes_penalty;minutes_penalty_norm;replacement_score
Nikola Moro;hr CRO;MF;Bologna;it Serie A;27-313;1998.0;16;11;971;10.8;1;0;1;1;0;0;1;0;0.3;0.3;0.6;0.8;11.0;86.0;18.0;0.09;0.0;0.09;0.09;0.09;0.03;0.06;0.08;0.03;0.08;2;6.689862055431956;0.9519563119415313;6.879355804460439;0.5094628076317971;0.7749589102176375
Sander Berge;no NOR;MF;Fulham;eng Premier League;27-339;1998.0;22;21;1812;20.1;0;1;1;0;0;0;3;0;0.6;0.6;1.5;2.2;32.0;111.0;16.0;0.0;0.05;0.05;0.0;0.05;0.03;0.08;0.11;0.03;0.11;2;5.12579260182975;0.666425474199628;7.502738210754851;0.9389455630188026;0.7754335097272979
Daniel Svensson;se SWE;DF,MF;Dortmund;de Bundesliga;23-341;2002.0;18;14;1338;14.9;1;1;2;1;0;0;0;0;0.9;0.9;1.3;2.2;25.0;37.0;96.0;0.07;0.07;0.13;0.07;0.13;0.07;0.09;0.16;0.07;0.16;2;5.893158207988302;0.8065129516937706;7.199678345691172;0.730150793419079;0.775968088383894
Luis Milla;es ESP;MF;Getafe;es La Liga;31-104;1994.0;19;19;1664;18.5;0;7;7;0;0;0;3;1;0.4;0.4;2.7;3.1;15.0;79.0;25.0;0.0;0.38;0.38;0.0;0.38;0.02;0.15;0.18;0.02;0.18;2;5.352955520459645;0.7078955114226595;7.417580402414544;0.8802756201403694;0.7768475549097434
Valentino Lazaro;at AUT;DF,MF;Torino;it Serie A;29-301;1996.0;20;17;1501;16.7;0;2;2;0;0;0;2;0;0.1;0.1;1.4;1.5;27.0;56.0;42.0;0.0;0.12;0.12;0.0;0.12;0.01;0.09;0.1;0.01;0.1;2;5.63074298270788;0.7586073814277039;7.31455283232408;0.80929420610543;0.7788821112987944
Mamadou Sangare;ml MLI;MF;Lens;fr Ligue 1;23-207;2002.0;16;14;1261;14.0;1;1;2;1;0;0;2;0;1.6;1.6;0.9;2.5;12.0;71.0;30.0;0.07;0.07;0.14;0.07;0.14;0.12;0.06;0.19;0.12;0.19;2;6.085984239683011;0.841714571571605;7.140453043101158;0.6893471937535232;0.7807676204443723
Mattéo Guendouzi;fr FRA;MF;Lazio;it Serie A;26-280;1999.0;16;16;1428;15.9;2;1;3;2;0;0;5;1;1.4;1.4;0.8;2.2;17.0;81.0;43.0;0.13;0.06;0.19;0.13;0.19;0.09;0.05;0.14;0.09;0.14;2;5.843711798077896;0.7974861947217375;7.264730177929867;0.7749686128999409;0.7884791619930189
Iñigo Ruiz de Galarreta;es ESP;MF;Athletic Club;es La Liga;32-166;1993.0;18;17;1167;13.0;0;0;0;0;0;0;8;0;0.3;0.3;1.0;1.2;10.0;95.0;17.0;0.0;0.0;0.0;0.0;0.0;0.02;0.08;0.1;0.02;0.1;2;6.4723770631256015;0.9122530417916634;7.0630481633881725;0.6360186739174463;0.8017592946419765
Cristian Cásseres Jr.;ve VEN;MF;Toulouse;fr Ligue 1;25-364;2000.0;17;15;1383;15.4;1;0;1;1;0;1;3;0;1.2;0.4;1.2;1.7;12.0;80.0;20.0;0.07;0.0;0.07;0.07;0.07;0.08;0.08;0.16;0.03;0.11;2;6.052279681745057;0.8355615899111166;7.232733136177615;0.7529240740787726;0.8025065835781791
Manuel Locatelli;it ITA;MF;Juventus;it Serie A;28-011;1998.0;20;20;1566;17.4;0;0;0;0;0;0;4;0;0.9;0.9;1.1;2.0;19.0;170.0;16.0;0.0;0.0;0.0;0.0;0.0;0.05;0.07;0.12;0.05;0.12;2;5.760641372255296;0.7823211595488582;7.356918242356021;0.838482089577754;0.8047855315604164
