Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_pedri;distance_norm;minutes_penalty;minutes_penalty_norm;replacement_score
Joel Roca;es ESP;FW,MF;Girona;es La Liga;20-226;2005.0;17;9;788;8.8;1;0;1;1;0;0;2;0;1.2;1.2;0.5;1.7;36.0;19.0;73.0;0.11;0.0;0.11;0.11;0.11;0.14;0.06;0.2;0.14;0.2;2;5.669883459962409;0.7657527247718658;6.670766320845874;0.36575392964138054;0.6057532067196717
Himad Abdelli;dz ALG;MF;Angers;fr Ligue 1;26-063;1999.0;13;11;943;10.5;2;0;2;0;2;2;1;0;2.0;0.4;0.4;0.9;39.0;79.0;12.0;0.19;0.0;0.19;0.0;0.0;0.19;0.04;0.23;0.04;0.08;2;5.2187272841405;0.6833912922036507;6.8501261661455;0.4893248867092481;0.6057647300058897
Arthur Avom;cm CMR;MF;Lorient;fr Ligue 1;21-035;2004.0;16;14;1268;14.1;0;1;1;0;0;0;3;0;0.7;0.7;1.7;2.4;30.0;80.0;32.0;0.0;0.07;0.07;0.0;0.07;0.05;0.12;0.17;0.05;0.17;2;4.500084540287527;0.5521984834591951;7.1459844677143876;0.6931580993230702;0.608582329804745
Brais Méndez;es ESP;MF,FW;Real Sociedad;es La Liga;29-012;1997.0;19;15;1203;13.4;4;2;6;4;0;0;3;0;2.3;2.3;1.4;3.7;23.0;80.0;75.0;0.3;0.15;0.45;0.3;0.45;0.18;0.11;0.29;0.18;0.29;2;4.637292499789315;0.5772466701181533;7.093404625868766;0.6569329265789339;0.6091211727024656
Fabio Vieira;pt POR;MF,FW;Hamburger SV;de Bundesliga;25-234;2000.0;12;9;807;9.0;1;3;4;1;0;0;3;2;1.1;1.1;1.6;2.7;7.0;49.0;25.0;0.11;0.33;0.45;0.11;0.45;0.14;0.2;0.34;0.14;0.34;2;5.71526673793252;0.7740377311367912;6.694562058521095;0.3821481346751261;0.6172818925521251
Pape Gueye;sn SEN;MF;Villarreal;es La Liga;26-360;1999.0;13;9;776;8.6;2;1;3;2;0;0;5;0;1.0;1.0;1.0;1.9;12.0;65.0;18.0;0.23;0.12;0.35;0.23;0.35;0.11;0.11;0.22;0.11;0.22;2;5.819270043680435;0.7930241968271325;6.655440350367647;0.3551950175458405;0.6178925251146157
Aleix García;es ESP;MF;Leverkusen;de Bundesliga;28-205;1997.0;17;16;1411;15.7;0;4;4;0;0;0;3;0;0.9;0.9;2.2;3.1;20.0;117.0;33.0;0.0;0.26;0.26;0.0;0.26;0.06;0.15;0.21;0.06;0.21;2;4.331861083929073;0.5214882203623468;7.252762418053187;0.7667233585652857;0.6195822756435223
Dimitris Giannoulis;gr GRE;DF,MF;Augsburg;de Bundesliga;30-094;1995.0;15;14;1032;11.5;2;2;4;2;0;0;5;0;0.9;0.9;1.5;2.4;22.0;31.0;51.0;0.17;0.17;0.35;0.17;0.35;0.09;0.15;0.24;0.09;0.24;2;5.118970339833334;0.6651800268324124;6.940222469119639;0.5513972327697179;0.6196669092073346
Mehdi Léris;dz ALG;DF,MF;Pisa;it Serie A;27-241;1998.0;19;10;951;10.6;1;3;4;1;0;0;1;0;1.1;1.1;1.2;2.3;24.0;27.0;63.0;0.09;0.28;0.38;0.09;0.38;0.11;0.12;0.22;0.11;0.22;2;5.346981863745629;0.7068049823531177;6.858565034791365;0.4951388919198205;0.6221385461797988
Khéphren Thuram;fr FRA;MF;Juventus;it Serie A;24-299;2001.0;20;17;1432;15.9;1;2;3;1;0;0;0;0;1.7;1.7;1.1;2.8;48.0;81.0;29.0;0.06;0.13;0.19;0.06;0.19;0.11;0.07;0.18;0.11;0.18;2;4.34668821400995;0.5241950073682244;7.267525427828172;0.7768944157718174;0.6252747707296616
Reece James;eng ENG;DF,MF;Chelsea;eng Premier League;26-042;1999.0;21;15;1449;16.1;2;4;6;2;0;0;4;0;0.9;0.9;3.2;4.0;18.0;84.0;31.0;0.12;0.25;0.37;0.12;0.37;0.06;0.21;0.27;0.06;0.27;2;4.319289866737766;0.5191932646186599;7.27931883541462;0.7850195491321541;0.6255237784240576
Alexis Claude-Maurice;fr FRA;MF,FW;Augsburg;de Bundesliga;27-227;1998.0;15;12;985;10.9;2;0;2;2;0;0;2;0;1.5;1.5;0.9;2.4;26.0;30.0;57.0;0.18;0.0;0.18;0.18;0.18;0.17;0.1;0.27;0.17;0.27;2;5.307415384522883;0.6995818696371514;6.893656354602635;0.5193152507174617;0.6274752220692755
Adam Wharton;eng ENG;MF;Crystal Palace;eng Premier League;21-347;2004.0;20;20;1652;18.4;0;2;2;0;0;0;3;0;1.0;1.0;3.9;4.9;22.0;103.0;16.0;0.0;0.11;0.11;0.0;0.11;0.06;0.23;0.28;0.06;0.28;2;4.011427949958517;0.46299111144422417;7.410347097821024;0.8752921949490089;0.6279115448461381
Nicolás González;ar ARG;MF,DF;Atlético Madrid;es La Liga;27-288;1998.0;15;13;931;10.3;1;0;1;1;0;0;2;0;2.1;2.1;1.3;3.4;22.0;27.0;72.0;0.1;0.0;0.1;0.1;0.1;0.2;0.13;0.33;0.2;0.33;2;5.458479580656568;0.727159600520852;6.837332814685591;0.48051083648877757;0.6285000949080223
Ruslan Malinovskyi;ua UKR;MF;Genoa;it Serie A;32-260;1993.0;19;18;1363;15.1;2;3;5;1;1;1;6;0;1.6;0.8;2.2;3.0;21.0;75.0;28.0;0.13;0.2;0.33;0.07;0.26;0.11;0.15;0.26;0.06;0.21;2;4.54125346237238;0.5597141323229629;7.218176838403408;0.7428954322480505;0.6329866522929979
Abdoul Ouattara;fr FRA;DF,MF;Strasbourg;fr Ligue 1;20-089;2005.0;15;11;959;10.7;2;0;2;2;0;0;1;0;1.5;1.5;1.4;2.8;17.0;35.0;62.0;0.19;0.0;0.19;0.19;0.19;0.14;0.13;0.27;0.14;0.27;2;5.4394491309196225;0.7236854707477269;6.866933284461882;0.5009042437968869;0.6345729799673909
Mario Pašalić;hr CRO;MF;Atalanta;it Serie A;30-344;1995.0;18;14;1131;12.6;2;2;4;2;0;0;2;0;1.5;1.5;2.1;3.6;11.0;82.0;27.0;0.16;0.16;0.32;0.16;0.32;0.12;0.17;0.3;0.12;0.3;2;5.037414514031809;0.6502914915373776;7.0317412587631285;0.6144496088857139;0.6359547384767121
Bruno Guimarães;br BRA;MF;Newcastle United;eng Premier League;28-064;1997.0;21;20;1838;20.4;8;3;11;7;1;1;4;0;3.9;3.1;2.3;5.4;28.0;162.0;56.0;0.39;0.15;0.54;0.34;0.49;0.2;0.12;0.32;0.16;0.28;2;3.820282705965302;0.428096330063471;7.516977224604321;0.94875561033537;0.6363600421722306
Pablo Barrios;es ESP;MF;Atlético Madrid;es La Liga;22-218;2003.0;19;17;1437;16.0;1;1;2;1;0;0;0;0;1.5;1.5;0.7;2.3;42.0;100.0;49.0;0.06;0.06;0.13;0.06;0.13;0.1;0.05;0.15;0.1;0.15;2;4.4640662026236955;0.5456231065770889;7.271008538280992;0.7792941239757862;0.6390915135365678
Óscar Mingueza;es ESP;MF,DF;Celta Vigo;es La Liga;26-251;1999.0;17;13;1104;12.3;1;2;3;1;0;0;3;0;0.5;0.5;2.1;2.7;13.0;52.0;51.0;0.08;0.16;0.24;0.08;0.24;0.05;0.19;0.23;0.05;0.23;2;5.216947110604301;0.6830663101896193;7.007600613951853;0.5978177781736527;0.6489668973832325
Tajon Buchanan;ca CAN;MF,DF;Villarreal;es La Liga;26-345;1999.0;18;12;1127;12.5;5;0;5;5;0;0;5;0;1.2;1.2;1.3;2.5;34.0;26.0;82.0;0.4;0.0;0.4;0.4;0.4;0.1;0.11;0.21;0.1;0.21;2;5.168208915919491;0.6741688424164771;7.028201432058005;0.6120108257061458;0.6493056357323446
Hakan Çalhanoğlu;tr TUR;MF;Inter;it Serie A;31-345;1994.0;16;16;1262;14.0;7;2;9;4;3;4;4;0;4.5;1.4;2.7;4.1;29.0;113.0;33.0;0.5;0.14;0.64;0.29;0.43;0.32;0.19;0.52;0.1;0.29;2;4.900964835942716;0.6253817339785546;7.141245122350491;0.6898929011316159;0.6511862008397791
Adrien Rabiot;fr FRA;MF;Milan;it Serie A;30-291;1995.0;14;13;1201;13.3;3;3;6;3;0;0;2;0;1.2;1.2;0.7;1.9;31.0;65.0;48.0;0.22;0.22;0.45;0.22;0.45;0.11;0.06;0.17;0.11;0.17;2;5.0529813588248755;0.6531333181739924;7.091742115095153;0.6557875305897269;0.6541950031402862
Pierre Højbjerg;dk DEN;MF;Marseille;fr Ligue 1;30-167;1995.0;16;14;1302;14.5;2;2;4;2;0;0;2;0;1.8;1.8;1.0;2.8;24.0;109.0;22.0;0.14;0.14;0.28;0.14;0.28;0.13;0.08;0.21;0.13;0.21;2;4.861083898048407;0.6181012148298244;7.172424577124845;0.7113741588840687;0.6554103924515221
Lucien Agoume;fr FRA;MF;Sevilla;es La Liga;23-344;2002.0;16;14;1225;13.6;1;2;3;1;0;0;8;0;0.5;0.5;1.8;2.3;19.0;83.0;28.0;0.07;0.15;0.22;0.07;0.22;0.04;0.14;0.17;0.04;0.17;2;5.037305980831938;0.6502716781106717;7.111512116496157;0.6694081823597706;0.6579262798103113
Weston McKennie;us USA;DF,MF;Juventus;it Serie A;27-144;1998.0;20;16;1424;15.8;2;2;4;2;0;0;3;0;3.9;3.9;2.2;6.1;26.0;83.0;81.0;0.13;0.13;0.25;0.13;0.25;0.26;0.15;0.41;0.26;0.41;2;4.6658217105243684;0.5824548591934748;7.261927092702751;0.7730374118349594;0.6586878802500686
Alexis Mac Allister;ar ARG;MF;Liverpool;eng Premier League;27-026;1998.0;21;17;1402;15.6;0;2;2;0;0;0;3;0;1.7;1.7;1.5;3.3;26.0;68.0;43.0;0.0;0.13;0.13;0.0;0.13;0.11;0.1;0.21;0.11;0.21;2;4.71999685023212;0.5923448758995189;7.246368080102461;0.7623179440809755;0.6603341031721015
Rocco Reitz;de GER;MF;Gladbach;de Bundesliga;23-235;2002.0;18;18;1542;17.1;0;2;2;0;0;0;3;0;1.4;1.3;1.6;2.8;30.0;71.0;59.0;0.0;0.12;0.12;0.0;0.12;0.09;0.1;0.19;0.08;0.19;2;4.500329365023505;0.5522431777736341;7.341483852363161;0.8278484812581759;0.6624852991674508
Daniel Muñoz;co COL;DF,MF;Crystal Palace;eng Premier League;29-238;1996.0;14;14;1259;14.0;3;2;5;3;0;0;4;0;1.8;1.8;2.5;4.3;21.0;29.0;75.0;0.21;0.14;0.36;0.21;0.36;0.13;0.18;0.31;0.13;0.31;2;5.040857561517353;0.6509200417789724;7.138866999945524;0.6882544805524979;0.6658538172883827
Emile Smith Rowe;eng ENG;MF;Fulham;eng Premier League;25-175;2000.0;22;10;990;11.0;3;0;3;3;0;0;1;0;2.9;2.9;0.5;3.4;28.0;68.0;61.0;0.27;0.0;0.27;0.27;0.27;0.29;0.05;0.34;0.29;0.34;2;5.646501737441773;0.7614842424459756;6.898714534329988;0.522800111606398;0.6660105901101445
Sandro Tonali;it ITA;MF;Newcastle United;eng Premier League;25-256;2000.0;22;19;1494;16.6;0;1;1;0;0;0;3;0;0.7;0.7;1.9;2.5;25.0;106.0;29.0;0.0;0.06;0.06;0.0;0.06;0.04;0.12;0.16;0.04;0.16;2;4.628716860110203;0.5756811324905817;7.3098814858247865;0.8060758561076975;0.667839021937428
Isaac Palazón Camacho;es ESP;MF,FW;Rayo Vallecano;es La Liga;31-023;1994.0;19;17;1425;15.8;2;2;4;0;2;3;6;0;3.9;1.5;2.5;4.0;22.0;79.0;69.0;0.13;0.13;0.25;0.0;0.13;0.26;0.17;0.43;0.1;0.27;2;4.759836092236391;0.59961778319803;7.262628600974241;0.7735207198371175;0.669178957853665
Kristian Thorstvedt;no NOR;MF;Sassuolo;it Serie A;26-312;1999.0;16;12;1078;12.0;2;1;3;2;0;0;5;0;2.6;2.6;0.9;3.5;25.0;49.0;47.0;0.17;0.08;0.25;0.17;0.25;0.22;0.07;0.29;0.22;0.29;2;5.463203627371472;0.7280220053283444;6.983789965258135;0.5814133001112731;0.6693785232415159
Youssouf Fofana;fr FRA;MF;Milan;it Serie A;27-009;1999.0;18;16;1273;14.1;1;2;3;1;0;0;4;0;2.1;2.1;1.7;3.8;23.0;41.0;49.0;0.07;0.14;0.21;0.07;0.21;0.16;0.12;0.28;0.16;0.28;2;5.057494422496616;0.6539572066835513;7.149916836132109;0.6958673262858248;0.6707212545244607
Joel Fujita;jp JPN;MF;St Pauli;de Bundesliga;23-337;2002.0;17;17;1510;16.8;0;3;3;0;0;0;3;0;0.5;0.5;2.2;2.7;22.0;83.0;40.0;0.0;0.18;0.18;0.0;0.18;0.03;0.15;0.18;0.03;0.18;2;4.631403121707069;0.5761715266494731;7.32052696227274;0.8134101159634612;0.6710669623750685
John McGinn;sct SCO;FW,MF;Aston Villa;eng Premier League;31-093;1994.0;22;21;1591;17.7;3;2;5;3;0;0;3;0;2.6;2.6;2.1;4.6;24.0;70.0;67.0;0.17;0.11;0.28;0.17;0.28;0.15;0.12;0.27;0.15;0.27;2;4.503559302299294;0.5528328233894895;7.3727463664043285;0.8493869631517192;0.6714544792943813
Djibril Sidibé;fr FRA;DF,MF;Toulouse;fr Ligue 1;33-174;1992.0;18;14;1183;13.1;2;3;5;1;1;2;1;0;1.9;0.4;1.7;2.1;16.0;45.0;51.0;0.15;0.23;0.38;0.08;0.3;0.16;0.14;0.3;0.03;0.17;2;5.254152549460465;0.6898583999530816;7.076653815443951;0.6453923631245058;0.6720719852216512
Benjamin André;fr FRA;MF;Lille;fr Ligue 1;35-169;1990.0;14;14;1249;13.9;2;1;3;2;0;0;6;0;1.6;1.6;1.2;2.8;16.0;95.0;48.0;0.14;0.07;0.22;0.14;0.22;0.11;0.09;0.2;0.11;0.2;2;5.137075555247026;0.6684852491885316;7.1308988302963465;0.6827647660181047;0.6741970559203607
Saša Lukić;rs SRB;MF;Fulham;eng Premier League;29-159;1996.0;19;15;1210;13.4;1;2;3;1;0;0;6;0;1.8;1.8;1.6;3.4;22.0;35.0;44.0;0.07;0.15;0.22;0.07;0.22;0.14;0.12;0.27;0.14;0.27;2;5.227542528430757;0.6850005711786347;7.099201743553092;0.6609268828587833;0.6753710958506941
Hugo Bueno;es ESP;DF,MF;Wolves;eng Premier League;23-123;2002.0;19;13;1253;13.9;0;1;1;0;0;0;1;0;0.4;0.4;1.3;1.7;46.0;32.0;70.0;0.0;0.07;0.07;0.0;0.07;0.03;0.1;0.13;0.03;0.13;2;5.1571633356380975;0.672152401404968;7.134093721192866;0.6849659037652458;0.6772778023490791
Carlos Soler;es ESP;MF;Real Sociedad;es La Liga;29-017;1997.0;17;11;1028;11.4;2;2;4;2;0;0;2;1;1.6;1.6;0.8;2.5;17.0;66.0;23.0;0.18;0.18;0.35;0.18;0.35;0.16;0.08;0.24;0.16;0.24;2;5.6602147284045605;0.7639876362617259;6.9363427358340495;0.548724269072256;0.677882289385938
Cyril Ngonge;be BEL;FW,MF;Torino;it Serie A;25-238;2000.0;19;10;926;10.3;1;1;2;1;0;0;2;0;1.8;1.8;0.4;2.2;25.0;34.0;75.0;0.1;0.1;0.19;0.1;0.19;0.19;0.05;0.24;0.19;0.24;2;5.931616434977557;0.8135337459078766;6.831953565565855;0.47680477306682434;0.6788421567714557
Suat Serdar;de GER;MF;Hellas Verona;it Serie A;28-283;1997.0;15;11;925;10.3;2;0;2;2;0;0;2;0;2.1;2.1;0.8;2.9;16.0;61.0;18.0;0.19;0.0;0.19;0.19;0.19;0.22;0.08;0.3;0.22;0.3;2;5.973473362729356;0.8211749945869222;6.8308742346461795;0.476061162062285;0.6831294615770673
Ryan Gravenberch;nl NED;MF;Liverpool;eng Premier League;23-248;2002.0;20;20;1758;19.5;4;2;6;4;0;0;3;0;1.0;1.0;1.5;2.5;42.0;101.0;32.0;0.2;0.1;0.31;0.2;0.31;0.05;0.08;0.14;0.05;0.14;2;4.3635156381087565;0.5272669607836593;7.472500744737558;0.9181132936286165;0.6836054939216423
Elliot Anderson;eng ENG;MF;Nottingham Forest;eng Premier League;23-074;2002.0;22;22;1980;22.0;1;2;3;0;1;1;4;0;1.8;1.0;2.2;3.2;29.0;177.0;56.0;0.05;0.09;0.14;0.0;0.09;0.08;0.11;0.19;0.05;0.15;2;4.072342889372851;0.47411152150140806;7.591357046698551;1.0;0.6844669129008448
Lucas Da Cunha;fr FRA;MF;Como;it Serie A;24-224;2001.0;18;15;1323;14.7;1;0;1;0;1;1;3;0;2.0;1.2;1.3;2.6;21.0;66.0;25.0;0.07;0.0;0.07;0.0;0.0;0.14;0.1;0.24;0.09;0.18;2;5.175072005235439;0.6754217430708354;7.188412736496954;0.7223892896791728;0.6942087617141703
Aleix Febas;es ESP;MF;Elche;es La Liga;29-351;1996.0;19;19;1702;18.9;1;1;2;1;0;0;4;0;1.4;1.4;0.8;2.2;62.0;136.0;68.0;0.05;0.05;0.11;0.05;0.11;0.08;0.04;0.12;0.08;0.12;2;4.548764101069766;0.56108524724008;7.440146680662688;0.8958227823043678;0.6949802612657952
