Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,cluster,distance_to_lamine,distance_norm,minutes_penalty,minutes_penalty_norm,replacement_score
Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,25-005,2001.0,17,16,1440,16.0,5,2,7,5,0,0,0,0,3.1,3.1,2.0,5.1,61.0,70.0,98.0,0.31,0.12,0.44,0.31,0.44,0.21,0.13,0.34,0.2,0.34,3,4.410705634814422,0.7940732983738835,7.273092595999522,0.6723260106500728,0.7575491120567402
João Pedro,br BRA,"FW,MF",Chelsea,eng Premier League,24-115,2001.0,22,19,1598,17.8,7,3,10,7,0,0,2,0,6.5,6.5,2.8,9.3,39.0,58.0,100.0,0.39,0.17,0.56,0.39,0.56,0.38,0.17,0.55,0.38,0.55,3,4.337428890176644,0.7736291142868378,7.377133712833954,0.779443119503048,0.7753733158517008
Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,25-101,2000.0,18,18,1553,17.3,3,2,5,2,1,3,1,0,9.0,6.5,2.4,8.9,43.0,39.0,117.0,0.17,0.12,0.29,0.12,0.23,0.53,0.14,0.67,0.38,0.53,3,4.401575048369454,0.7915258682031473,7.348587530927593,0.7500529652290737,0.7790839973109251
Mikel Oyarzabal,es ESP,FW,Real Sociedad,es La Liga,28-273,1997.0,17,17,1497,16.6,6,3,9,3,3,3,2,0,7.2,4.8,3.7,8.5,32.0,47.0,91.0,0.36,0.18,0.54,0.18,0.36,0.46,0.24,0.69,0.31,0.54,3,4.50293799188795,0.8198060911734862,7.311886164077165,0.7122665166827122,0.7875442188262539
Cucho,co COL,FW,Real Betis,es La Liga,26-274,1999.0,19,19,1645,18.3,8,3,11,7,1,1,2,0,7.7,7.0,3.8,10.7,29.0,48.0,117.0,0.44,0.16,0.6,0.38,0.55,0.42,0.21,0.63,0.38,0.59,3,4.359687118068343,0.7798391514646453,7.406103381237015,0.8092692807187483,0.7886681902408761
Mohammed Kudus,gh GHA,"FW,MF",Tottenham Hotspur,eng Premier League,25-170,2000.0,19,19,1535,17.1,2,5,7,2,0,0,3,0,1.9,1.9,2.8,4.7,58.0,42.0,134.0,0.12,0.29,0.41,0.12,0.41,0.11,0.17,0.28,0.11,0.28,3,4.543467010252511,0.8311136719947715,7.336936913707618,0.7380578956745785,0.8031969390987135
Florian Wirtz,de GER,"MF,FW",Liverpool,eng Premier League,22-261,2003.0,21,17,1495,16.6,3,1,4,3,0,0,1,0,4.1,4.1,2.3,6.4,32.0,101.0,156.0,0.18,0.06,0.24,0.18,0.24,0.26,0.15,0.41,0.26,0.41,3,4.600157199490471,0.8469302133878068,7.310550158534422,0.7108910119255123,0.8061184529491184
Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,eng Premier League,26-303,1999.0,21,19,1691,18.8,4,3,7,3,1,1,3,0,4.2,3.4,2.4,5.8,54.0,95.0,109.0,0.21,0.16,0.37,0.16,0.32,0.22,0.13,0.35,0.18,0.31,3,4.432058569985219,0.8000307592243682,7.433666540166168,0.8376473487862457,0.8113157360929314
Jarrod Bowen,eng ENG,"FW,MF",West Ham United,eng Premier League,29-030,1996.0,22,22,1980,22.0,6,1,7,6,0,0,3,0,4.7,4.7,2.0,6.7,68.0,43.0,151.0,0.27,0.05,0.32,0.27,0.32,0.23,0.09,0.32,0.23,0.32,3,4.322008116678909,0.7693267243033478,7.591357046698551,1.0,0.8385287070123435
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,eng Premier League,23-177,2002.0,22,22,1957,21.7,7,4,11,7,0,0,4,0,3.4,3.4,3.2,6.6,49.0,68.0,133.0,0.32,0.18,0.51,0.32,0.51,0.16,0.16,0.32,0.16,0.32,3,4.370136004496342,0.7827543868329007,7.579678823090456,0.9879765078701679,0.8443210231440808
Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,27-030,1998.0,19,19,1660,18.4,19,4,23,13,6,7,3,0,15.7,11.0,5.5,16.5,73.0,81.0,167.0,1.03,0.22,1.25,0.7,0.92,0.9,0.31,1.22,0.63,0.95,3,4.784675746406113,0.8984108183091225,7.415175109613295,0.8186092161743916,0.8744703376687032
Morgan Gibbs-White,eng ENG,"MF,FW",Nottingham Forest,eng Premier League,25-357,2000.0,22,21,1871,20.8,5,1,6,4,1,1,0,0,5.9,5.1,1.2,6.3,41.0,124.0,135.0,0.24,0.05,0.29,0.19,0.24,0.3,0.06,0.36,0.26,0.32,3,5.14879516995602,1.0,7.534762657037537,0.941732388288048,0.9825197164864143
