Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andreas Christensen,dk DEN,DF,29-247,11,3,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Roony Bardghji,se SWE,FW,20-028,8,3,244.0,2.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,13.0,13.0,37.0,0.37,0.37,0.74,0.37,0.74,0.37,0.35,0.72,0.37,0.72,Matches
Marc Bernal,es ESP,MF,18-201,6,1,102.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,1.0,3.0,2.0,0.0,0.88,0.88,0.0,0.88,0.02,0.51,0.53,0.02,0.53,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,4,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Toni Fernández,es ESP,FW,17-151,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Gavi,es ESP,"MF,DF",21-130,2,0,67.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,11.0,3.0,0.0,1.34,1.34,0.0,1.34,0.0,0.23,0.23,0.0,0.23,Matches
Jofre Torrents,es ESP,DF,18-319,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eder Aller,es ESP,GK,18-253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Xavi Espart,es ESP,MF,18-206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guillermo Fernandez,es ESP,MF,17-178,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Juan Hernández,es ESP,FW,18-145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Kochen,us USA,GK,19-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tomas Marques,es ESP,MF,19-044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iñaki Peña,es ESP,GK,26-286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.3,16,176,1440.0,16.0,46.0,35.0,81.0,43.0,3.0,5.0,27.0,2.0,36.4,32.6,26.4,59.0,384.0,812.0,810.0,2.87,2.19,5.06,2.69,4.87,2.28,1.65,3.92,2.04,3.68,
Opponent Total,,,28.0,16,176,1440.0,16.0,20.0,15.0,35.0,17.0,3.0,4.0,45.0,4.0,21.3,18.4,16.8,35.1,176.0,396.0,393.0,1.25,0.94,2.19,1.06,2.0,1.33,1.05,2.38,1.15,2.2,
