Player;Nation;Pos;Squad;Comp;Age;Born;Playing Time_MP;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG;cluster;distance_to_lamine;is_target;replacement_score;is_replacement_candidate
Antoine Semenyo;gh GHA;FW,MF;Bournemouth;eng Premier League;26-012;2000.0;20;20;1798;20.0;10;3;13;9;1;2;6;0;6.7;5.1;2.1;7.2;73.0;68.0;126.0;0.5;0.15;0.65;0.45;0.6;0.34;0.11;0.44;0.26;0.36;3;3.5687875275696177;False;0.6616589157280965;True
Giuliano Simeone;ar ARG;MF,FW;Atlético Madrid;es La Liga;23-032;2002.0;19;16;1421;15.8;2;5;7;2;0;0;1;0;3.2;3.2;3.5;6.7;44.0;36.0;138.0;0.13;0.32;0.44;0.13;0.44;0.21;0.23;0.44;0.21;0.44;3;4.1585690326722435;False;0.7042072792326854;True
Moses Simon;ng NGA;FW,MF;Paris FC;fr Ligue 1;30-191;1995.0;16;14;1146;12.7;3;2;5;3;0;0;0;0;2.2;2.2;2.1;4.3;61.0;26.0;121.0;0.24;0.16;0.39;0.24;0.39;0.18;0.16;0.34;0.18;0.34;3;4.542499077140735;False;0.7128081732152519;True
Matìas Soulé;ar ARG;MF,FW;Roma;it Serie A;22-279;2003.0;21;18;1385;15.4;6;4;10;6;0;0;1;0;2.9;2.9;2.1;5.0;56.0;84.0;122.0;0.39;0.26;0.65;0.39;0.65;0.19;0.14;0.33;0.19;0.33;3;4.2560264261144285;False;0.7153205164793628;True
Issa Soumaré;sn SEN;FW,MF;Le Havre;fr Ligue 1;25-101;2000.0;18;18;1553;17.3;3;2;5;2;1;3;1;0;9.0;6.5;2.4;8.9;43.0;39.0;117.0;0.17;0.12;0.29;0.12;0.23;0.53;0.14;0.67;0.38;0.53;3;4.401575048369454;False;0.7790839973109251;True
Marcus Tavernier;eng ENG;MF,FW;Bournemouth;eng Premier League;26-303;1999.0;21;19;1691;18.8;4;3;7;3;1;1;3;0;4.2;3.4;2.4;5.8;54.0;95.0;109.0;0.21;0.16;0.37;0.16;0.32;0.22;0.13;0.35;0.18;0.31;3;4.432058569985219;False;0.8113157360929314;True
Bazoumana Touré;ci CIV;FW,MF;Hoffenheim;de Bundesliga;19-323;2006.0;15;14;1110;12.3;2;4;6;2;0;0;1;0;2.0;2.0;2.4;4.4;55.0;34.0;117.0;0.16;0.32;0.49;0.16;0.49;0.17;0.2;0.37;0.17;0.37;3;4.362155019703846;False;0.6677373843171808;True
Leandro Trossard;be BEL;FW;Arsenal;eng Premier League;31-046;1994.0;18;12;1176;13.1;5;4;9;5;0;0;1;0;4.0;4.0;2.2;6.2;39.0;50.0;127.0;0.38;0.31;0.69;0.38;0.69;0.32;0.18;0.49;0.32;0.49;3;4.171776451031002;False;0.6483808421100524;True
Carlos Vicente;es ESP;MF,FW;Alavés;es La Liga;26-271;1999.0;20;10;1176;13.1;4;0;4;1;3;3;1;0;3.3;1.0;3.2;4.2;41.0;26.0;123.0;0.31;0.0;0.31;0.08;0.08;0.28;0.27;0.54;0.08;0.35;3;4.157823775941645;False;0.6456558883527517;True
Nico Williams;es ESP;FW;Athletic Club;es La Liga;23-191;2002.0;16;13;1128;12.5;4;2;6;3;1;2;1;0;4.1;2.5;3.5;6.1;73.0;33.0;122.0;0.32;0.16;0.48;0.24;0.4;0.35;0.3;0.65;0.22;0.52;3;2.79228649495489;False;0.3661065580623129;True
Florian Wirtz;de GER;MF,FW;Liverpool;eng Premier League;22-261;2003.0;21;17;1495;16.6;3;1;4;3;0;0;1;0;4.1;4.1;2.3;6.4;32.0;101.0;156.0;0.18;0.06;0.24;0.18;0.24;0.26;0.15;0.41;0.26;0.41;3;4.600157199490471;False;0.8061184529491184;True
Lamine Yamal;es ESP;FW;Barcelona;es La Liga;18-190;2007.0;16;15;1349;15.0;7;8;15;5;2;2;0;0;5.1;3.5;5.4;8.9;107.0;78.0;153.0;0.47;0.53;1.0;0.33;0.87;0.36;0.39;0.75;0.25;0.64;3;0.0;True;;False
Kenan Yıldız;tr TUR;MF,FW;Juventus;it Serie A;20-260;2005.0;20;19;1661;18.5;7;4;11;6;1;2;1;0;6.1;4.4;4.3;8.7;101.0;72.0;148.0;0.38;0.22;0.6;0.33;0.54;0.35;0.25;0.6;0.25;0.5;3;1.564560928775951;False;0.2457686628701392;True
